scene count,release simulation time,release total time
4,5222995,17883080
4,4800287,16800839
5,5568096,20666873
6,5577474,17411712
6,5534482,17444123
8,5988529,18543789
9,6168639,17568487
10,5805924,17423364
12,6617515,18523749
13,7401254,18928784
16,7341481,19757206
18,8571522,20191327
21,8883661,19749381
24,9512798,22464726
27,11554901,440425633
32,10407927,62546198
36,11261989,23342773
42,14366546,25457121
48,14828688,26179604
55,15026122,26849589
64,19248246,33005032
73,25944259,37591014
84,23625545,41804485
97,27168660,38624976
111,30089042,42396011
128,29607532,41018782
147,34653393,46434370
168,43484164,55375870
194,43557613,58361574
222,55621404,67108267
256,68195107,79965043
294,73428310,84739623
337,88239967,99745004
388,101062009,112907338
445,107773472,121464452
512,110677270,123224845
588,140466556,152704977
675,145491606,158173062
776,187068992,198680790
891,206436523,219365738
1024,221603029,234032422
1176,284357331,296249679
1351,322619752,334625515
1552,336166121,349258274
1782,427015693,438660593
2048,501594593,514316987
2352,567318849,583102850
2702,656728923,672032687
3104,755903652,768376354
3565,881861472,893675892
4096,889514070,902334710
4705,1184752972,1196666000
5404,1366971343,1387930648
6208,1530791771,1542928841
7131,1541247038,1553965063
8192,1984391689,1996879921
9410,2005260284,2017134207
10809,2667094219,2680839844
12416,3038406813,3050024022
14263,3450498096,3467447275
16384,3525796836,3539065961
18820,4576191947,4590395807
21618,5279978476,5292676023
24833,5470092364,5488359009
28526,7028041283,7046513726
32768,6990326424,7006516962
37640,9199303108,9211420516
43237,10559239285,10571620691
49667,12292016286,12304426106
57052,13863243474,13876018722
65536,13971353646,13982641169
75281,16315558718,16329301810
86475,21102743683,21115620262
