scene count,release_cuda simulation time,release_cuda total time
4,601331489,601373428
4,595734280,595772812
5,672504405,672547156
6,689833705,689881605
6,691535194,691573386
8,684783137,684883706
9,701250831,701349388
10,704629324,704730586
12,725861876,725966764
13,735554400,735650582
16,763476861,763581078
18,789498196,789601050
21,808145732,808251581
24,869222834,869327421
27,887714807,887820666
32,899967990,900066355
36,907588626,907846242
42,916250334,916349331
48,925780571,925885779
55,941233500,941338499
64,963220265,963315956
73,985713395,985809547
84,1023248590,1023349841
97,1085453621,1085557568
111,1129288728,1129396281
128,1186642257,1186753577
147,1277828787,1277952591
168,1365697597,1365807164
194,1479801898,1479910863
222,1583886767,1583996494
256,1713229281,1713340981
294,1714581653,1714705828
337,1718726001,1718851266
388,1733554692,1733683765
445,1769566773,1769681680
512,1776901359,1777018650
588,1791597762,1791741303
675,1803984589,1804117910
776,1812368241,1812535286
891,1827554358,1827732263
1024,1853041205,1853202589
1176,1852189179,1852381732
1351,1878472077,1878657357
1552,1873168642,1873368840
1782,1869392970,1869555106
2048,1878910544,1879094230
2352,1886242193,1886445826
2702,1901962338,1902148009
3104,1899719526,1899955742
3565,1925600207,1925844287
4096,1951499441,1951742750
4705,1997042591,1997286131
5404,2077527392,2077778026
6208,2219558684,2219816690
7131,2496054411,2496322096
8192,2931999532,2932275312
9410,3489900596,3490182348
10809,4191056138,4191354601
12416,5097865494,5098183163
14263,6218015563,6218340787
16384,7528476754,7528810945
18820,9210334479,9210670303
21618,11750739165,11751095817
24833,12597901604,12598275759
28526,13295065728,13295472274
32768,15337771238,15339027647
37640,17716531433,17720667876
43237,21965791817,22015839470
49667,22932593307,22936745490
57052,26391331405,26486665091
65536,33499123582,33643048653
75281,35301174734,35473582791
86475,44048648138,44271229636
